id,caseNumber,block,iucr,primaryType,description,locationDescription,arrest,domestic,beat,district,ward,communityArea,fbiCode,xCoordinate,yCoordinate,year,updatedOn,latitude,longitude,location,date
10560338,HZ307136,040XX W GRAND AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,2534,25,30,23,06,1148992,1909222,2016,06/21/2016 03:56:51 PM,41.90683577,-87.728130174,"(41.90683577, -87.728130174)",2016-06-15T05:34:00.000Z
10560230,HZ307139,001XX N WABASH AVE,0810,THEFT,OVER $500,SIDEWALK,false,false,111,1,42,32,06,1176797,1901090,2016,06/21/2016 03:56:51 PM,41.883937418,-87.626237711,"(41.883937418, -87.626237711)",2016-06-15T05:35:00.000Z
10560675,HZ307715,054XX S DEARBORN ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,225,2,3,40,05,1176903,1869006,2016,06/21/2016 03:56:51 PM,41.795894095,-87.626817596,"(41.795894095, -87.626817596)",2016-06-15T05:37:00.000Z
10560130,HZ307145,019XX N FRANCISCO AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,false,true,1421,14,35,22,24,1156824,1912657,2016,06/27/2016 03:50:03 PM,41.916106457,-87.69926659,"(41.916106457, -87.69926659)",2016-06-15T05:40:00.000Z
10560258,HZ307129,065XX S DR MARTIN LUTHER KING JR DR,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,312,3,20,42,26,1180047,1861654,2016,06/21/2016 03:56:51 PM,41.775648021,-87.615513559,"(41.775648021, -87.615513559)",2016-06-15T05:40:00.000Z
10560390,HZ307333,033XX W BLOOMINGDALE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),PARK PROPERTY,true,false,1422,14,26,22,18,1153638,1911727,2016,06/21/2016 03:56:51 PM,41.913618495,-87.710996626,"(41.913618495, -87.710996626)",2016-06-15T05:50:00.000Z
10560292,HZ307270,002XX N KENTON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1113,11,28,25,18,1145765,1900792,2016,06/21/2016 03:56:51 PM,41.883764778,-87.740198478,"(41.883764778, -87.740198478)",2016-06-15T05:59:00.000Z
10569284,HZ317232,051XX S WESTERN BLVD,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,932,9,16,63,05,1161392,1870586,2016,06/24/2016 03:49:34 PM,41.800565559,-87.683653567,"(41.800565559, -87.683653567)",2016-06-15T06:00:00.000Z
10561933,HZ308610,008XX S INDEPENDENCE BLVD,0650,BURGLARY,HOME INVASION,APARTMENT,false,false,1133,11,24,26,05,1151231,1895932,2016,06/21/2016 03:56:51 PM,41.870322981,-87.720254143,"(41.870322981, -87.720254143)",2016-06-15T06:00:00.000Z
10560541,HZ307492,031XX W OGDEN AVE,0620,BURGLARY,UNLAWFUL ENTRY,CONSTRUCTION SITE,false,false,1022,10,24,29,05,1155532,1891573,2016,06/21/2016 03:56:51 PM,41.858276035,-87.704580917,"(41.858276035, -87.704580917)",2016-06-15T06:00:00.000Z
10560337,HZ307219,040XX W IRVING PARK RD,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,1732,17,39,16,06,1148903,1926279,2016,06/21/2016 03:56:51 PM,41.953643409,-87.72801475,"(41.953643409, -87.72801475)",2016-06-15T06:00:00.000Z
10560613,HZ307245,031XX N SHERIDAN RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1934,19,44,6,07,1173013,1921305,2016,06/21/2016 03:56:51 PM,41.939493089,-87.639532345,"(41.939493089, -87.639532345)",2016-06-15T06:05:00.000Z
10560150,HZ307140,015XX W 91ST ST,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,true,false,2221,22,21,73,26,1167465,1844381,2016,06/21/2016 03:56:51 PM,41.728527453,-87.662131797,"(41.728527453, -87.662131797)",2016-06-15T06:05:00.000Z
10560431,HZ307262,001XX N WABASH AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,111,1,42,32,08B,1176796,1901148,2016,06/21/2016 03:56:51 PM,41.884096596,-87.626239628,"(41.884096596, -87.626239628)",2016-06-15T06:10:00.000Z
10560418,HZ307257,041XX W NORTH AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2534,25,30,23,08B,1148308,1910308,2016,06/21/2016 03:56:51 PM,41.909829078,-87.730614779,"(41.909829078, -87.730614779)",2016-06-15T06:12:00.000Z
10560329,HZ307211,116XX S MARSHFIELD AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,2234,22,34,75,06,1167478,1827422,2016,06/21/2016 03:56:51 PM,41.681988948,-87.662568066,"(41.681988948, -87.662568066)",2016-06-15T06:28:00.000Z
10560714,HZ307844,0000X N LOREL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,1522,15,28,25,07,1140719,1899724,2016,02/14/2017 03:49:42 PM,41.880928259,-87.758754351,"(41.880928259, -87.758754351)",2016-06-15T06:30:00.000Z
10561689,HZ308541,011XX N WESTERN AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",false,false,1212,12,1,24,04B,1160197,1907701,2016,06/21/2016 03:56:51 PM,41.902437713,-87.687011559,"(41.902437713, -87.687011559)",2016-06-15T06:30:00.000Z
10560361,HZ307351,064XX S HAMILTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,726,7,15,67,08B,1163139,1861844,2016,06/21/2016 03:56:51 PM,41.776539966,-87.677491291,"(41.776539966, -87.677491291)",2016-06-15T06:30:00.000Z
10560335,HZ307357,001XX N STATE ST,0870,THEFT,POCKET-PICKING,CTA STATION,false,false,111,1,42,32,06,1176352,1900918,2016,06/21/2016 03:56:51 PM,41.883475491,-87.627876969,"(41.883475491, -87.627876969)",2016-06-15T06:32:00.000Z
10560353,HZ307374,068XX S HALSTED ST,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,SIDEWALK,true,false,723,7,6,68,08A,1172147,1859536,2016,07/06/2016 03:55:54 PM,41.770013278,-87.644536213,"(41.770013278, -87.644536213)",2016-06-15T06:35:00.000Z
10560445,HZ307197,043XX N NARRAGANSETT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,"SCHOOL, PRIVATE, GROUNDS",false,true,1632,16,38,17,08B,1132905,1928088,2016,06/21/2016 03:56:51 PM,41.958902502,-87.786783523,"(41.958902502, -87.786783523)",2016-06-15T06:35:00.000Z
10560323,HZ307336,050XX S ARTESIAN AVE,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,false,false,923,9,14,63,07,1160882,1871145,2016,06/21/2016 03:56:51 PM,41.80211009,-87.685508459,"(41.80211009, -87.685508459)",2016-06-15T06:35:00.000Z
10560413,HZ307326,012XX S ASHLAND AVE,0810,THEFT,OVER $500,GROCERY FOOD STORE,false,false,1233,12,2,28,06,1165916,1894587,2016,06/21/2016 03:56:51 PM,41.866331725,-87.666379171,"(41.866331725, -87.666379171)",2016-06-15T06:43:00.000Z
10560619,HZ307438,099XX S PAXTON AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,true,true,431,4,7,51,04A,1192811,1839551,2016,06/24/2016 03:49:34 PM,41.714693603,-87.569442106,"(41.714693603, -87.569442106)",2016-06-15T06:45:00.000Z
10560393,HZ307286,003XX N CENTRAL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,1512,15,29,25,08B,1138980,1901803,2016,06/21/2016 03:56:51 PM,41.886665074,-87.765089381,"(41.886665074, -87.765089381)",2016-06-15T06:45:00.000Z
10565395,HZ312675,034XX W DOUGLAS BLVD,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,false,1021,10,24,29,26,1153498,1893074,2016,06/21/2016 03:56:51 PM,41.862435581,-87.71200715,"(41.862435581, -87.71200715)",2016-06-15T06:47:00.000Z
10560530,HZ307209,081XX S HALSTED ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,622,6,21,71,06,1172386,1850905,2016,06/21/2016 03:56:51 PM,41.746323478,-87.643913685,"(41.746323478, -87.643913685)",2016-06-15T06:50:00.000Z
10560483,HZ307341,047XX W JACKSON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1113,11,28,25,14,1144806,1898270,2016,06/21/2016 03:56:51 PM,41.876862242,-87.743783671,"(41.876862242, -87.743783671)",2016-06-15T06:55:00.000Z
10560333,HZ307317,038XX W 111TH ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",false,false,2211,22,19,74,08B,1152573,1830709,2016,06/21/2016 03:56:51 PM,41.691314623,-87.717043381,"(41.691314623, -87.717043381)",2016-06-15T06:57:00.000Z
10579208,HZ327146,071XX S HARVARD AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,731,7,6,69,05,1175192,1857677,2016,07/04/2016 03:55:03 PM,41.764844508,-87.633430029,"(41.764844508, -87.633430029)",2016-06-15T07:00:00.000Z
10563457,HZ310431,054XX N SHERIDAN RD,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,2023,20,48,77,08B,1168654,1936401,2016,06/21/2016 03:56:51 PM,41.98101273,-87.65511368,"(41.98101273, -87.65511368)",2016-06-15T07:00:00.000Z
10561257,HZ308281,005XX W ROSCOE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE-GARAGE,false,false,1925,19,44,6,14,1171971,1922698,2016,06/21/2016 03:56:51 PM,41.943338611,-87.64332075,"(41.943338611, -87.64332075)",2016-06-15T07:00:00.000Z
10560656,HZ307785,029XX S POPLAR AVE,0820,THEFT,$500 AND UNDER,PARK PROPERTY,false,false,913,9,11,60,06,1170627,1885385,2016,06/21/2016 03:56:51 PM,41.84097894,-87.649353839,"(41.84097894, -87.649353839)",2016-06-15T07:00:00.000Z
